"item_reference","x","y","z","row","column","block"
1000754373,7.7307692308,1.2,0.64,3,2,"1.E"
1001720216,7.7538461538,1.2,0.64,3,2,"1.E"
1003180700,7.7769230769,1.2,0.64,3,2,"1.E"
1001757810,7.8,1.2,0.64,3,2,"1.E"
1001757829,7.8230769231,1.2,0.64,3,2,"1.E"
1003073466,7.8461538462,1.2,0.64,3,2,"1.E"
1005117609,7.8692307692,1.2,0.64,3,2,"1.E"
1005953467,7.8923076923,1.2,0.64,3,2,"1.E"
1001510525,7.9153846154,1.2,0.64,3,2,"1.E"
1000631630,7.9384615385,1.2,0.64,3,2,"1.E"
1001678133,7.9615384615,1.2,0.64,3,2,"1.E"
1006480164,7.9846153846,1.2,0.64,3,2,"1.E"
1006479571,8.0076923077,1.2,0.64,3,2,"1.E"
1001150075,8.0307692308,1.2,0.64,3,2,"1.E"
1001754642,8.0538461538,1.2,0.64,3,2,"1.E"
1006025493,8.0769230769,1.2,0.64,3,2,"1.E"
1001169660,9,1.2,0.64,3,4,"1.E"
1000733538,9.0473684211,1.2,0.64,3,4,"1.E"
1000803909,9.0710526316,1.2,0.64,3,4,"1.E"
1006068423,9.0947368421,1.2,0.64,3,4,"1.E"
1006068414,9.1184210526,1.2,0.64,3,4,"1.E"
1000803729,9.1421052632,1.2,0.64,3,4,"1.E"
1000467822,9.1657894737,1.2,0.64,3,4,"1.E"
1000467868,9.1894736842,1.2,0.64,3,4,"1.E"
1003347444,9.2131578947,1.2,0.64,3,4,"1.E"
1000352054,9.2368421053,1.2,0.64,3,4,"1.E"
1000610516,9.2605263158,1.2,0.64,3,4,"1.E"
1000560710,9.2842105263,1.2,0.64,3,4,"1.E"
1003150875,9.3078947368,1.2,0.64,3,4,"1.E"
1002720288,9.3315789474,1.2,0.64,3,4,"1.E"
1005902120,9.3552631579,1.2,0.64,3,4,"1.E"
1000349751,9.3789473684,1.2,0.64,3,4,"1.E"
1000839243,9.4026315789,1.2,0.64,3,4,"1.E"
1005849643,9.4263157895,1.2,0.64,3,4,"1.E"
1000799149,9.4736842105,1.2,0.64,3,4,"1.E"
1002726381,9.4973684211,1.2,0.64,3,4,"1.E"
1002657694,9.5210526316,1.2,0.64,3,4,"1.E"
1002657702,9.5447368421,1.2,0.64,3,4,"1.E"
1003885456,9.5684210526,1.2,0.64,3,4,"1.E"
1002803178,9.5921052632,1.2,0.64,3,4,"1.E"
1002272835,9.6157894737,1.2,0.64,3,4,"1.E"
1000799211,9.6394736842,1.2,0.64,3,4,"1.E"
1002272817,9.6631578947,1.2,0.64,3,4,"1.E"
1004748358,9.6868421053,1.2,0.64,3,4,"1.E"
1001344539,9.7105263158,1.2,0.64,3,4,"1.E"
1000805907,9.7342105263,1.2,0.64,3,4,"1.E"
1000391682,9.7578947368,1.2,0.64,3,4,"1.E"
1002181494,9.7815789474,1.2,0.64,3,4,"1.E"
1000803080,9.8052631579,1.2,0.64,3,4,"1.E"
1003440783,9.8289473684,1.2,0.64,3,4,"1.E"
1003312857,9.8526315789,1.2,0.64,3,4,"1.E"
1003193445,9.8763157895,1.2,0.64,3,4,"1.E"
1005162537,9.9,1.2,0.64,3,5,"1.E"
1006935619,9.925,1.2,0.64,3,5,"1.E"
1003247355,9.95,1.2,0.64,3,5,"1.E"
1007088772,9.975,1.2,0.64,3,5,"1.E"
1004317707,10,1.2,0.64,3,5,"1.E"
